Temp	Treatment	Hx	Hy	Hz
100.0000000000000	1	0	0	1
12.9310344827586	1	0	0	1
12.9310344827586	5	0	0	-1
12.9310344827586	3	0	0	0
25.8620689655172	1	0	0	1
25.8620689655172	5	0	0	-1
12.9310344827586	2	0	0	1
38.7931034482759	1	0	0	1
38.7931034482759	5	0	0	-1
38.7931034482759	3	0	0	0
51.7241379310345	1	0	0	1
51.7241379310345	5	0	0	-1
25.8620689655172	2	0	0	1
64.6551724137931	1	0	0	1
64.6551724137931	5	0	0	-1
64.6551724137931	3	0	0	0
77.5862068965517	1	0	0	1
77.5862068965517	5	0	0	-1
51.7241379310345	2	0	0	1
86.2068965517241	1	0	0	1
86.2068965517241	5	0	0	-1
86.2068965517241	3	0	0	0
91.3793103448276	1	0	0	1
91.3793103448276	5	0	0	-1
77.5862068965517	2	0	0	1
96.5517241379310	1	0	0	1
96.5517241379310	5	0	0	-1
96.5517241379310	3	0	0	0
97.4137931034483	1	0	0	1
97.4137931034483	5	0	0	-1
91.3793103448276	2	0	0	1
98.2758620689655	1	0	0	1
98.2758620689655	5	0	0	-1
98.2758620689655	3	0	0	0
99.1379310344828	1	0	0	1
99.1379310344828	5	0	0	-1
97.4137931034483	2	0	0	1
100.0000000000000	1	0	0	1
100.0000000000000	5	0	0	-1
100.0000000000000	3	0	0	0
99.1379310344828	2	0	0	1
