Temp	Treatment	Hx	Hy	Hz
100.0000000000000	1	0	0	1
12.9310344827586	1	0	0	1
12.9310344827586	0	0	0	0
25.8620689655172	1	0	0	1
25.8620689655172	0	0	0	0
12.9310344827586	2	0	0	1
38.7931034482759	1	0	0	1
38.7931034482759	0	0	0	0
51.7241379310345	1	0	0	1
51.7241379310345	0	0	0	0
25.8620689655172	2	0	0	1
64.6551724137931	1	0	0	1
64.6551724137931	0	0	0	0
77.5862068965517	1	0	0	1
77.5862068965517	0	0	0	0
51.7241379310345	2	0	0	1
86.2068965517241	1	0	0	1
86.2068965517241	0	0	0	0
91.3793103448276	1	0	0	1
91.3793103448276	0	0	0	0
77.5862068965517	2	0	0	1
96.5517241379310	1	0	0	1
96.5517241379310	0	0	0	0
97.4137931034483	1	0	0	1
97.4137931034483	0	0	0	0
91.3793103448276	2	0	0	1
98.2758620689655	1	0	0	1
98.2758620689655	0	0	0	0
99.1379310344828	1	0	0	1
99.1379310344828	0	0	0	0
97.4137931034483	2	0	0	1
100.0000000000000	1	0	0	1
100.0000000000000	0	0	0	0
99.1379310344828	2	0	0	1
